model,source,val_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1
Yöntem 1: Mel + CNN,final,0.55308009020888,0.6264150943396226,0.6280995663280461,0.6282449741493037,0.6256339633111484
Yöntem 2: Aralık + LSTM/GRU,final,0.5638142387667547,0.6377358490566037,0.6380680805560507,0.6440260732629888,0.6425591169770393
