epoch,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1,improved
1,1.9673064989386593,0.2807318467695826,0.2764919414527201,0.23899111368825107,0.24111211287376283,1.6965443273869956,0.348780487804878,0.34047619047619043,0.2673995309786487,0.2739214707586158,True
2,1.6744927752692744,0.3401943967981704,0.3369123775747645,0.30640176125595797,0.3079694167298213,1.5618452159369864,0.3975609756097561,0.39365079365079364,0.3531022863048518,0.35460071605212456,True
3,1.528739923814694,0.4042309891366495,0.40577187516458707,0.38246746366072193,0.38150949943074314,1.461491086424851,0.4146341463414634,0.4138888888888889,0.38618936932343234,0.3869782282375123,True
4,1.444036484718868,0.4173813607775872,0.4190564591978965,0.4038223696065739,0.40370706881795015,1.4151224857423363,0.424390243902439,0.4257936507936508,0.40216223646103777,0.4026026334414313,True
5,1.3925669488394308,0.4379645511720983,0.4379972325173925,0.42568874778512494,0.42678541910655554,1.411954493057437,0.4121951219512195,0.4142857142857143,0.38704018845971344,0.38638767833804116,False
6,1.3466120617535537,0.4648370497427101,0.4680017672336456,0.4568521398284657,0.45580766454420807,1.3827253446346377,0.43414634146341463,0.43611111111111106,0.42103228883131233,0.42108383443893166,True
7,1.3026245006361712,0.48256146369353914,0.4841760482185138,0.474011181413643,0.47339301451807647,1.402494295631967,0.43658536585365854,0.4396825396825396,0.4189094165681467,0.41828661101018827,False
8,1.2750000700124542,0.5042881646655232,0.5059124058892335,0.5005060897922726,0.5000202558014476,1.367859574643577,0.44634146341463415,0.4492063492063492,0.4372614573437869,0.4373624436422139,True
9,1.1910356610348867,0.5391652372784448,0.542124931946247,0.5367769199634093,0.5359636185796891,1.3692439119990278,0.47317073170731705,0.4753968253968253,0.4654949611935735,0.4656421685529421,True
10,1.148561680228319,0.5723270440251572,0.5755353598570955,0.5682798487436788,0.5674585930202865,1.3852205474202226,0.45121951219512196,0.4531746031746031,0.43578914617655773,0.4357992680428185,False
11,1.0752312211461446,0.5860491709548313,0.5884379919730681,0.5824828388260054,0.5812734208443151,1.3966150312888912,0.4609756097560976,0.46428571428571425,0.45401359589064927,0.4536838673140195,False
12,1.0246403913895972,0.6203544882790166,0.6219846007432475,0.6196466394239238,0.6191661035203001,1.3815871924888796,0.4634146341463415,0.46547619047619043,0.45541206061394934,0.45549394515281283,False
13,0.9690382426435297,0.6455117209834191,0.6469179700491601,0.6440734859980265,0.6434146406744629,1.394701568091788,0.47804878048780486,0.4797619047619048,0.46763610843960945,0.46794010099196326,True
14,0.942281164701766,0.6626643796455117,0.6657301766074659,0.6616409902340189,0.6600521090027986,1.4020053718148209,0.4682926829268293,0.4702380952380952,0.4610663837086846,0.46158019794548183,False
15,0.8955987789345987,0.675242995997713,0.6781343493679786,0.6734141645887829,0.672043011131278,1.4089005551687102,0.4634146341463415,0.46626984126984133,0.45729432701824196,0.4570657333682804,False
16,0.8591424560737719,0.6826758147512865,0.6846850118018523,0.6818950955408455,0.6803757441654983,1.411371789327482,0.4682926829268293,0.469047619047619,0.46495131311811405,0.4655311873261599,False
17,0.79853401175903,0.7095483133218983,0.7125522002176253,0.7089243877944756,0.707439391576929,1.485291157117704,0.43414634146341463,0.43214285714285716,0.42831278100017545,0.430222848829448,False
18,0.7580110004044996,0.7261292166952544,0.7293017637273461,0.7261780439029257,0.7246080096983472,1.4155846860350632,0.48048780487804876,0.48253968253968244,0.47562796217115294,0.4752102631219517,True
19,0.7113265426517419,0.7575757575757576,0.7609288055416551,0.7583768525713706,0.7566040780614248,1.4506060332786745,0.47073170731707314,0.4714285714285715,0.46462528968162786,0.4644346639450362,False
20,0.6747104769232888,0.7632933104631218,0.765629828955667,0.7635513346849673,0.7621716670999544,1.4790788458614814,0.43902439024390244,0.4376984126984127,0.43701873198593527,0.4384814039775954,False
21,0.6226496907763648,0.7855917667238422,0.7872914833744921,0.7868699571496635,0.7855803992032394,1.4779329416228504,0.48292682926829267,0.48134920634920636,0.47499769708532774,0.47606997060549133,False
22,0.5852156728250494,0.8073184676958262,0.8091707851015425,0.8080147002246293,0.8069025154065476,1.5006931182814807,0.48048780487804876,0.480952380952381,0.47745862118395194,0.47748955154964656,True
23,0.5373678828321776,0.8336192109777015,0.8352833640171219,0.8341590774972167,0.8331616033035258,1.514077164487141,0.47073170731707314,0.4702380952380952,0.4671299960369029,0.46763850833693626,False
24,0.5177471782562731,0.8273299028016009,0.8290687268450361,0.8289356114290376,0.8272933416927106,1.5473089846169077,0.44634146341463415,0.4436507936507937,0.44263658614763995,0.4447988857881932,False
25,0.4820385462492108,0.8393367638650657,0.8420228971628756,0.8406173797783936,0.8388831808827608,1.5652125887754487,0.4560975609756098,0.45515873015873015,0.44952337666366793,0.45073126389936713,False
26,0.43725600111068763,0.8644939965694682,0.8663698268694922,0.8658055940522896,0.8641897428899514,1.5832513873170062,0.4682926829268293,0.4662698412698412,0.46500021406595077,0.46699208920577073,False
27,0.40348581140759743,0.8770726129216695,0.8785460974959594,0.8782060951918341,0.8769081904293099,1.625110538412885,0.45121951219512196,0.44920634920634916,0.44769703907124697,0.44944407963229266,False
28,0.38687077987664353,0.884505431675243,0.8856019824822928,0.8854069785936916,0.8846278001277167,1.6164359092712401,0.4609756097560976,0.4587301587301587,0.45717432114977224,0.4591525149322453,False
29,0.35315314408981713,0.8925100057175529,0.8941752222575787,0.8933066077802193,0.8924513063955212,1.6161728184397628,0.4853658536585366,0.48373015873015873,0.48451049946214714,0.48599297960611854,True
30,0.32884104163937056,0.9045168667810177,0.9056204220968462,0.9051447516050356,0.9042668983322938,1.6845046403931407,0.4585365853658537,0.45436507936507936,0.4569683769547653,0.4607097659397248,False
31,0.29429512416859777,0.9130931961120641,0.9141702474200457,0.9139571818800792,0.9131571887337099,1.6908455249739855,0.44878048780487806,0.44563492063492066,0.4449563612845735,0.4477495705205706,False
32,0.29075454062158684,0.9165237278444825,0.9172261855143469,0.9173593401211271,0.9166629413121692,1.7635740541830296,0.4560975609756098,0.45396825396825397,0.44868880238355563,0.450460032293682,False
33,0.270291115187658,0.9251000571755289,0.9255911305586033,0.9256786009223466,0.9251014494208301,1.7866563959819515,0.4634146341463415,0.4591269841269841,0.4552465945894761,0.45867175994983356,False
34,0.252933172846672,0.9291023441966838,0.9301812580808101,0.9298535660985929,0.9290180068476764,1.7619037035034923,0.44878048780487806,0.44642857142857145,0.4455193737853906,0.4472393585118636,False
