epoch,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1,improved
1,2.3309226208270006,0.186404673393521,0.18146344025880126,0.17776430750446423,0.18216374818852069,1.8913762651640793,0.20689655172413793,0.2041208297305858,0.19517504730425947,0.20016282784010256,True
2,2.047911054646152,0.24322889006903878,0.24060147972635018,0.23972680956610004,0.24389935834691429,1.8203919685532894,0.2438423645320197,0.24151192687778053,0.2385737489668458,0.24332492883999765,True
3,1.9120224977008091,0.2920870950610728,0.29145573647088696,0.2891661395687401,0.29277036770036813,1.8293089197187,0.23645320197044334,0.22300807300807302,0.2202006875617418,0.23345708267268536,False
4,1.8375661275643842,0.3106744556558683,0.3113434017372281,0.308375583332045,0.3117729631055989,1.8334126237577992,0.22660098522167488,0.2356876039802869,0.22774501117243118,0.22799990246600607,False
5,1.7416938738941956,0.3356346255974509,0.3395105466354185,0.33518130151656145,0.3359014898557799,1.8542978610898473,0.22413793103448276,0.2253798936725766,0.2207352300374871,0.2232469497910929,False
6,1.668061968182479,0.3632501327668614,0.36945093910412724,0.36271289484811686,0.36239608402808615,1.876611659092269,0.21428571428571427,0.21176721542575203,0.20573818716853662,0.21232481865670988,False
7,1.6216535748665597,0.3754646840148699,0.3772523899866314,0.37338427810849506,0.3760154365185039,1.8743888474450323,0.23891625615763548,0.22710735759516246,0.22792119798596847,0.24138973069191852,False
8,1.5740204929862325,0.39298990971853426,0.3972620545591626,0.3925630031333158,0.3918200160048604,1.878468857610167,0.24876847290640394,0.23793058183302085,0.23443849539529485,0.24754032526912276,False
9,1.4690726188288936,0.443441317047265,0.4510760443497534,0.44431882671970674,0.44270332257387873,1.8730871501227317,0.22660098522167488,0.22920208773867312,0.224512854385387,0.22532024457015717,False
10,1.3804420579068533,0.4705257567711099,0.478796782738976,0.47100034125902646,0.46932034451301813,1.9240350688032328,0.21674876847290642,0.2053449077839322,0.2037134511724535,0.2149651819831384,False
