epoch,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1,improved
1,2.3707924745086655,0.18746680828465215,0.1821261899552651,0.17861970951774586,0.1834574036827651,1.8170022435963447,0.23645320197044334,0.2236679822045676,0.2116431610202751,0.2247983910262828,True
2,2.0903738462981933,0.24853956452469464,0.24624926819630463,0.24465371811450876,0.24851716349911362,1.8085806698634708,0.2561576354679803,0.23973024338877993,0.23364353785907668,0.2522244024270975,True
3,1.9111470748184212,0.2936802973977695,0.2930940249182317,0.29110073484218835,0.29513932532934584,1.8151105090315118,0.23399014778325122,0.2214830763611251,0.2197164014863485,0.23380855378985446,False
4,1.8457795307475457,0.31226765799256506,0.31272861911081623,0.3102037194762282,0.3132179061879571,1.8341333149689172,0.22660098522167488,0.22123437977096513,0.21343743742888002,0.22475422125408856,False
5,1.7902004457950846,0.33244822092405735,0.33513736440224284,0.331109443106498,0.33317473427560695,1.887737297659437,0.22413793103448276,0.21417741783595443,0.20678162073998427,0.21860887405054863,False
6,1.6883970362926124,0.3749336165693043,0.37780750967795096,0.373711344962739,0.37536108225082626,1.8563397330016338,0.22660098522167488,0.2196782782148636,0.218911912062597,0.2300160791152086,False
7,1.6216618325313987,0.3898035050451407,0.3928005518046958,0.38950114684527043,0.3905803540503926,1.8881772885768873,0.19950738916256158,0.19440182976768342,0.19375042356765712,0.20161186411592563,False
8,1.5268479234920305,0.42379182156133827,0.4282629403142182,0.4230273425899356,0.42384574830247856,1.8931308650030878,0.22167487684729065,0.2116743287474995,0.2093101151824435,0.2214567091690264,False
9,1.4963753652648601,0.44078597981943707,0.44669018787665066,0.44095186197564956,0.44069086656427336,1.9110878195081438,0.22167487684729065,0.21604542458200993,0.2167870368466979,0.22663125026629136,False
10,1.394386140197373,0.4731810939989379,0.4805373125269125,0.4744787624003637,0.4730146537521163,1.932845388727235,0.21182266009852216,0.20380607087924163,0.20418046542930146,0.21384823446676948,False
