epoch,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1,improved
1,2.386257027541458,0.17790759426447159,0.1718423836116558,0.16857369568360156,0.174664998234205,1.8781845522631566,0.21674876847290642,0.21079112054721816,0.20229585787537407,0.2036520756728221,True
2,2.1894262195329874,0.2012745618693574,0.19810755440967442,0.19564756300526032,0.20008614339951616,1.8263192869759546,0.19950738916256158,0.19934365788024325,0.1930645751801423,0.19488413755308573,False
3,2.0436526722434474,0.2384492830589485,0.23822326869998509,0.23626946850567473,0.23902864697441578,1.8309610759096193,0.19950738916256158,0.20260510748315627,0.18990693902941116,0.19086439849260134,False
4,1.9607755371185926,0.2591609134360064,0.2533269710337445,0.25345632333630297,0.2611365197262807,1.8417127684419379,0.22167487684729065,0.22836525153598328,0.21492017399503527,0.21677305611520623,True
5,1.9494892775980766,0.275092936802974,0.2725850309406763,0.27173449228928276,0.2770805743866908,1.8367104694761078,0.22413793103448276,0.2244822744822745,0.223109247339633,0.22193914890933175,True
6,1.848429553001027,0.3021773765268189,0.3008414144550638,0.2987351359136265,0.303127226833477,1.845424215194627,0.18719211822660098,0.19096759096759097,0.18381135371088028,0.1823650565552915,False
7,1.80448820878392,0.3260754115772703,0.3223824842724475,0.32174212717709144,0.3274356104339228,1.8651841420845445,0.19950738916256158,0.2027951613317467,0.19567844198832948,0.19910326990591348,False
8,1.7716220252639236,0.3266064790228359,0.3312699292672871,0.32570661908528764,0.32653600447538284,1.8726421982196753,0.19458128078817735,0.20219917415039368,0.19548447915146205,0.19116958083538593,False
9,1.7594204425685152,0.3266064790228359,0.32891256980259675,0.32560545668109897,0.32711433086169983,1.8565093231905858,0.20689655172413793,0.21589960248496834,0.20537722832280714,0.20463429962059387,False
10,1.6701253394908369,0.36962294211364843,0.37135170367037373,0.36816501486040437,0.36996743163910556,1.877439840673813,0.19458128078817735,0.19721753746143988,0.19143175089132744,0.19176770241459817,False
11,1.589778873240511,0.3967073818374934,0.3978784371423514,0.39481287157704675,0.39719555851846966,1.8821583252235,0.2044334975369458,0.20172204196594443,0.19883604285965548,0.20227872223860638,False
12,1.5621254298513516,0.41741901221455124,0.4198493452071355,0.41673707700206136,0.4174557790241154,1.9206326753635126,0.1921182266009852,0.20102517785444615,0.18911974960568742,0.18600768820303182,False
13,1.5083229718408366,0.40626659585767394,0.4106771302317242,0.4046114356750909,0.4068030737175122,1.9075729036566071,0.20689655172413793,0.21048506536311415,0.20433336733843044,0.2071340688353088,False
