epoch,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1,improved
1,2.393995611830968,0.20233669676048857,0.1963904626060238,0.19563248480563258,0.20098420665289798,1.9092610998106707,0.20935960591133004,0.20193449705644828,0.19064656524510393,0.19779404734522854,True
2,2.0264654546991916,0.26394052044609667,0.2596595686711967,0.25894949711749676,0.26499560572685543,1.8661590045308831,0.17980295566502463,0.172418221198709,0.1660929719267574,0.17655405178393457,False
3,1.9266309640664594,0.2857142857142857,0.2855755037224842,0.2834035212534394,0.2872702845118436,1.8562831984364927,0.1921182266009852,0.18352638352638354,0.17974479918358124,0.19032590769536623,False
4,1.8401900056949398,0.3117365905469995,0.3168449671068474,0.31230895612004017,0.3109868746128839,1.8310182165042521,0.21674876847290642,0.21667836667836668,0.2063775638956072,0.21150662033263035,True
5,1.7486439593852485,0.348380244291025,0.3554533522096785,0.34876356168014605,0.3475696210213183,1.8855328101829942,0.20689655172413793,0.20714214372750958,0.1966953431215651,0.20135837581840232,False
6,1.6486115232149592,0.38077535847052574,0.38297080974866377,0.3787561369927735,0.3811416862134994,1.866373321692932,0.19458128078817735,0.18893578405773526,0.1848100546020258,0.19466878649516103,False
7,1.5419431134100867,0.4243228890069039,0.4268265779554566,0.4225316244802004,0.4251211898430593,1.8929522847894378,0.2044334975369458,0.19596449474498254,0.19542931402580524,0.2068021998071259,False
8,1.476812689467687,0.42857142857142855,0.4346363524835956,0.428961470083175,0.42814953399326816,1.9107724128685561,0.21182266009852216,0.20556877751999703,0.20496742758406042,0.2108836644203704,False
9,1.4270446767087825,0.4604354753053638,0.46477584695492863,0.46003549583955605,0.4602115528751558,1.9530654693471974,0.18472906403940886,0.18539867076452443,0.18217535759986672,0.1851092232560845,False
10,1.3430906935568763,0.485926712692512,0.49372395138246644,0.48817193312496704,0.4850627485485128,1.9304908531639964,0.20689655172413793,0.20496622691744645,0.20359764615012754,0.20809832337442896,False
11,1.275857082086868,0.5257567711099309,0.530735643784284,0.5264190004403432,0.5257555251345782,1.9737217990048412,0.20935960591133004,0.20482768165694995,0.2051433869388133,0.21019000785435302,False
12,1.2056829912891682,0.5554965480616039,0.5611335579201004,0.5562936304157543,0.5550124364038292,2.0274082874429635,0.18226600985221675,0.17773188139041798,0.17738114303175775,0.18444421940975306,False
