epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1,improved
1,1.7634459478514535,0.25040584415584416,0.19371120632801894,1.7150251934733087,0.24930747922437674,0.28687548790007805,0.1788697880831737,0.2795274782225088,True
2,1.732044603917506,0.2729301948051948,0.21190000451615668,1.769985063254338,0.26869806094182824,0.18288229681672305,0.1567593505001022,0.3044086498266995,False
3,1.7160842952790198,0.2830762987012987,0.22245279505584223,1.7165047362900836,0.3268698060941828,0.27931086824529444,0.18875730261868875,0.36957746027711197,True
4,1.6921059651808306,0.28875811688311687,0.23140853085373603,1.7832783751210348,0.23545706371191136,0.23120392054818284,0.1652076524932626,0.29230449923430324,False
5,1.653452843040615,0.29575892857142855,0.24393596654201724,1.7749003115783437,0.3379501385041551,0.25261622864081884,0.2064155571140451,0.3742366516384804,True
6,1.6006318702326192,0.3010349025974026,0.25578006953371063,1.7902844850376372,0.2853185595567867,0.29202988116922546,0.211052535206092,0.32604050792810546,True
7,1.5175597497395106,0.32538555194805197,0.28267116362182126,1.8087438883213456,0.2520775623268698,0.23997961661896086,0.17918075277494208,0.29830456770241864,False
8,1.3425553750682186,0.35460633116883117,0.32232032871860156,1.9549972251511676,0.32409972299168976,0.28746205221615057,0.21721947570245514,0.36556007244117067,True
9,1.146612184388297,0.406148538961039,0.38709550213461014,2.093335515574405,0.2659279778393352,0.31090402463353284,0.2027954085062463,0.2962663752079393,False
10,0.8933259465477683,0.471286525974026,0.4824670307215664,2.33733683973138,0.30193905817174516,0.2364038511579495,0.19410590936823788,0.3397615899482393,False
11,0.7248089383174847,0.5344967532467533,0.5731437140450603,2.7110938160703455,0.33518005540166207,0.24689912394830424,0.2045358693807012,0.3728445976307101,False
12,0.5881046826963301,0.5983157467532467,0.6519914290892231,3.0337777771778054,0.3074792243767313,0.24092180588082227,0.2064917308665185,0.34874290588764717,False
13,0.43111048135664554,0.6829342532467533,0.7499394765437084,3.510058434716222,0.40443213296398894,0.2438231850117096,0.23891785342232588,0.42726677968831894,True
14,0.3164812250957861,0.7528409090909091,0.8128277203514918,3.627854546681666,0.4155124653739612,0.2759205048139474,0.2633312057085808,0.43840568003151786,True
15,0.24766887898568984,0.8089488636363636,0.8543936328275766,3.9466075580205944,0.3407202216066482,0.2572241738225345,0.22742631485051032,0.37576372750959347,False
16,0.18428281583375744,0.8641436688311688,0.8957906249061552,4.388525422590261,0.44321329639889195,0.24442275999653051,0.23944357670177685,0.45186602023628414,False
17,0.15743413427239888,0.8891030844155844,0.9092990733016021,4.582405122033117,0.4293628808864266,0.24523701101569953,0.23705250803347164,0.44520666207292664,False
18,0.12734288881931985,0.9132508116883117,0.9233500841933213,4.912454840218921,0.4293628808864266,0.251230592419117,0.24566789285040555,0.43963520341377077,False
19,0.092014003932089,0.9380073051948052,0.9487700468367781,5.275614557503993,0.46537396121883656,0.25767521033914476,0.25247377431339696,0.4615944003975154,False
20,0.08229105384996185,0.9461241883116883,0.9487263303504486,5.580987790284725,0.4626038781163435,0.23668466475843522,0.22831314727049323,0.4563469036772525,False
21,0.10274470187481735,0.9329342532467533,0.939992796166114,4.998207318155389,0.4487534626038781,0.270985124468731,0.2616238484184766,0.46338492099538847,False
22,0.06584186331889072,0.9592126623376623,0.9627856806761503,5.969663592256667,0.5041551246537396,0.2512392661982826,0.2556114078004759,0.4806191629057375,False
