epoch,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1,improved
1,1.7856395423173768,0.30646083476272157,0.3061192995675222,0.2930238496620739,0.2939696119852794,1.5053024472259893,0.424390243902439,0.41865079365079366,0.39262823956496445,0.3959651733717106,True
2,1.362284985864551,0.4585477415666095,0.46108767465296063,0.45509301739200775,0.45413011623019794,1.4298350264386432,0.44878048780487806,0.45,0.44809074222535844,0.44749683484349184,True
3,1.2079679467052375,0.51915380217267,0.5205163048062857,0.5151066842739437,0.5150061624044426,1.4000698851376046,0.4268292682926829,0.428968253968254,0.4323749172264084,0.4314646232637118,False
4,1.0845789483371906,0.584333905088622,0.5854229558163714,0.583522221885122,0.5827958529147017,1.4184078175847123,0.4317073170731707,0.4313492063492063,0.4311354738446483,0.43085882988704965,False
5,0.9493380454419476,0.6535162950257289,0.656005784954102,0.6515646676739987,0.6497361876324644,1.395011114492649,0.44878048780487806,0.4492063492063492,0.44423102415751686,0.44439519547843187,False
6,0.8890929912212169,0.6712407089765581,0.6739495221970033,0.6706505509885091,0.6694296367727792,1.502860968868907,0.4024390243902439,0.40277777777777773,0.39916406102968116,0.39906499406817064,False
7,0.7539226954292747,0.7421383647798742,0.7437607820544363,0.7427333984305599,0.741640299174565,1.4496520839086393,0.4560975609756098,0.45595238095238094,0.4558404794898608,0.455796902925124,True
8,0.6601016978116088,0.7815894797026872,0.7831066562035168,0.781876862918573,0.7810659109337369,1.5032924506722427,0.44634146341463415,0.44682539682539685,0.4467319513870424,0.4467877442393009,False
9,0.572342274664742,0.8158947970268725,0.8177187399093028,0.8174054604689868,0.8157947778922361,1.4907956536223248,0.4634146341463415,0.46388888888888885,0.45580164767204373,0.4562018356788269,False
10,0.4737030696091889,0.8536306460834763,0.8552924510544794,0.8542341195260607,0.8533001520075733,1.5352427575646377,0.43658536585365854,0.4388888888888889,0.43895767273367925,0.437372810900988,False
11,0.4340172684690215,0.8622069754145226,0.863185842824182,0.8631348063008666,0.8623426130756267,1.5576301929427356,0.4585365853658537,0.4575396825396825,0.45889467064502926,0.45910062723514106,True
12,0.3943065132428197,0.8799313893653516,0.8806729909160435,0.8805811216337611,0.8798072073894861,1.5949643879401973,0.4634146341463415,0.4611111111111111,0.4574750015187045,0.45921915003670455,False
13,0.34383598651594266,0.9005145797598628,0.9017185268906033,0.9015205782244272,0.9004152501988454,1.6096276684505184,0.43414634146341463,0.43492063492063493,0.432846218923672,0.4320213299543307,False
14,0.2966384394057074,0.9182389937106918,0.9190982707194794,0.9186726541049425,0.9181762272817307,1.6542829106493695,0.45121951219512196,0.4503968253968254,0.43940233846131777,0.4396962875128029,False
15,0.2774668991258991,0.9148084619782733,0.9161310317337711,0.9159172030711322,0.9147394550115917,1.7335636976288586,0.4121951219512195,0.41111111111111104,0.40306909919164885,0.40410357142303255,False
16,0.26301439405509985,0.9279588336192109,0.9289459330079662,0.9289815921735918,0.927991011342353,1.7261914102042593,0.43902439024390244,0.4388888888888889,0.43839272217999325,0.4390986710405384,False
17,0.22187494442693298,0.9376786735277302,0.9384500219547166,0.9383868557179759,0.937623826152625,1.7135083024094744,0.4560975609756098,0.4547619047619047,0.4453118338030977,0.4461668441335047,False
18,0.181025205645444,0.9588336192109777,0.9592704285592939,0.9591252541523363,0.958786175138972,1.6964076242795805,0.44878048780487806,0.4492063492063492,0.4496423257028454,0.45002119883872493,False
19,0.1812634845847331,0.9531160663236135,0.9538774317984399,0.953656358699894,0.9530838199250925,1.7153035355777275,0.4317073170731707,0.43214285714285716,0.428786425865284,0.42817678960333866,False
20,0.16785409336024656,0.9588336192109777,0.9590724546722762,0.9591698452390373,0.9588357374639417,1.7590388158472572,0.4682926829268293,0.4682539682539683,0.4644772131763318,0.4642308946882804,True
21,0.17399398777197264,0.952544311034877,0.9530258631401803,0.9530126074207675,0.9525307142592188,1.7967834731427634,0.4292682926829268,0.4305555555555555,0.4359454328528294,0.4351699083984137,False
22,0.16351560490890665,0.9531160663236135,0.9534983186633575,0.9536798129789615,0.9531661754443289,1.9064140261673346,0.4317073170731707,0.43214285714285716,0.4248484029177086,0.424048922046334,False
23,0.13203816511175712,0.9639794168096055,0.9639929959099529,0.9641337130431951,0.9639810648816891,1.9045130119091127,0.43658536585365854,0.4361111111111111,0.43763856984377436,0.4383979480097043,False
24,0.11464395691422888,0.9725557461406518,0.9728481993831553,0.9730144719774505,0.9725797724442788,1.9541630204130964,0.4585365853658537,0.45555555555555555,0.4484774726633007,0.44975644507068857,False
25,0.11551329050492122,0.9708404802744426,0.9707912338990798,0.9706749923984687,0.9708164354437055,1.9879929984488138,0.4195121951219512,0.41825396825396827,0.4140173637145983,0.41426974515225573,False
26,0.08967882376047051,0.9817038307604345,0.9818686097140928,0.9818571411217282,0.9816930151654294,1.8708363021292338,0.4634146341463415,0.461904761904762,0.46365228883093357,0.4646004236545674,False
27,0.07303421163964503,0.9828473413379074,0.9832588868188519,0.9830591663844389,0.9828326390843938,1.990918737213786,0.44878048780487806,0.44682539682539685,0.4438626831366115,0.4452748238891947,False
28,0.07970180517097689,0.9794168096054888,0.9798182240431507,0.9797259081785495,0.9794162700396485,2.0801908126691493,0.45365853658536587,0.4515873015873016,0.4412933909037445,0.4423884395502652,False
29,0.08825390933751379,0.9771297884505432,0.9774111714223972,0.9773850534011713,0.9771077232144779,2.0049707802330574,0.45365853658536587,0.451984126984127,0.4557258480347966,0.4562566671539149,False
30,0.07319047091568177,0.9834190966266438,0.9835389800013292,0.9835340140649246,0.9834149477805504,2.0416216262956945,0.44146341463414634,0.4396825396825397,0.44073829132873704,0.44223653392632595,False
31,0.0636589270939208,0.9862778730703259,0.9864278407224564,0.98647164604126,0.986276622222416,2.056581147705636,0.4682926829268293,0.4662698412698412,0.4668598275559211,0.46840497525411867,True
32,0.06201738994962628,0.9868496283590623,0.9869796427770302,0.9869832964071836,0.9868543208522511,2.1289562359088805,0.4682926829268293,0.4662698412698412,0.4588959886505861,0.4597001365219193,False
33,0.08190486762883528,0.9817038307604345,0.981957308822686,0.9819072321313244,0.9817013108932049,2.1618971121020434,0.4097560975609756,0.4075396825396826,0.41104479482027606,0.41207193521016205,False
34,0.07879119754485092,0.982275586049171,0.9824222822841063,0.9823817561373097,0.9822798253978537,2.0020110941514737,0.43902439024390244,0.4380952380952381,0.43960963371516315,0.44023930518508714,False
35,0.07585080356905295,0.9839908519153803,0.984192574772571,0.9840306128609583,0.983969739303596,2.157476877003181,0.4170731707317073,0.4166666666666667,0.4206118022075304,0.4205101690647397,False
36,0.060965814884899,0.985134362492853,0.9853055314589155,0.9852601156327937,0.9851366234102089,2.06880464553833,0.45365853658536587,0.4531746031746032,0.45475408793719363,0.4551877293523455,False
37,0.054427837400248286,0.9897084048027445,0.9898685034981574,0.9898124527071617,0.9897037491035382,2.167698759567447,0.43658536585365854,0.4365079365079365,0.4367557505755082,0.4365682214567536,False
38,0.07123179594028194,0.9794168096054888,0.97962773221789,0.979814147243701,0.9794581076583175,2.160197125993124,0.43902439024390244,0.43769841269841264,0.43476955575819337,0.4349852540467852,False
39,0.05335300352707667,0.989136649514008,0.9890169348398977,0.9891594103890009,0.9891381530561486,2.08746578635239,0.4560975609756098,0.45476190476190476,0.4481013318753257,0.44876105627279833,False
40,0.048344835447304044,0.9902801600914809,0.990329735928699,0.9903240356573527,0.9902790538954157,2.266979625748425,0.4219512195121951,0.41785714285714287,0.4163766735617849,0.418910250965731,False
41,0.05226812065670053,0.9885648942252716,0.9885613139556737,0.9886010278426501,0.9885577410603974,2.1351089192599786,0.44146341463414634,0.44087301587301586,0.4368485217027744,0.437168514584322,False
42,0.05485598676933296,0.989136649514008,0.9892111676960371,0.9892128338845301,0.9891364528500839,2.13746019340143,0.424390243902439,0.423015873015873,0.4244072533046315,0.4250025521657201,False
43,0.04942300667791383,0.9902801600914809,0.9903241243823815,0.9903753364860869,0.9902817533960644,2.227803803071743,0.43658536585365854,0.43492063492063493,0.43589012222310813,0.4371896692126431,False
