parameter_order,parameter,parameter_label,tested_value_count,tested_values,best_value,best_runs,best_mean_macro_f1,best_std_macro_f1,worst_value,worst_runs,worst_mean_macro_f1,mean_macro_f1_spread,minimum_group_runs,maximum_group_runs
1,learning_rate,Learning rate,5,0.0001 | 0.00015 | 0.0003 | 0.0006 | 0.001,0.001,1,0.4684975242717454,0.0,0.0001,1,0.4424015609048668,0.026095963366878583,1,26
2,hidden_dims,Gizli katman yapısı,6,1024-512-256 | 256 | 256-128-64 | 512-256 | 512-256-128 | 768-384-192,768-384-192,1,0.4754379024518005,0.0,256,1,0.4237271083197793,0.05171079413202123,1,13
3,batch_size,Batch boyutu,3,128 | 32 | 64,128,2,0.4699696312652689,0.014540868196878193,64,26,0.4573111824320659,0.012658448833202995,2,26
4,patience,Patience,5,10 | 12 | 5 | 6 | 8,10,1,0.479428946754948,0.0,5,1,0.4459761112302668,0.0334528355246812,1,26
5,activation,Aktivasyon,3,gelu | relu | tanh,gelu,2,0.4674359711936258,0.0075146281497432965,tanh,2,0.42983477936773407,0.03760119182589172,2,26
6,batch_norm,Batch normalization,2,false | true,true,28,0.4590367245646438,0.01736222360308418,false,2,0.4571077499173206,0.0019289746473231673,2,28
7,dropout,Dropout,5,0 | 0.2 | 0.3 | 0.4 | 0.5,0.2,1,0.4776496724978034,0.0,0,1,0.4339700899540442,0.0436795825437592,1,26
8,weight_decay,Weight decay,2,0 | 0.0001,0,2,0.4690461748895848,0.008298602143527928,0.0001,28,0.4581839799237678,0.010862194965816974,2,28
