deneme,n_intervals,interval_ms,rnn_type,hidden,layers,bidir,dropout,pooling,batch,lr,weight_decay,parametre,best_epoch,val_accuracy,val_macro_f1,saniye
1,24,400,gru,192,1,False,0.4,attn,128,0.00213,0.0001,138439,10,0.5226,0.5178,4.0
2,24,150,lstm,256,3,True,0.4,max,128,0.00093,0.0,3775494,9,0.5383,0.5357,9.1
