epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1,improved
1,1.3588892504783545,0.4465036301108139,0.4349388446842865,1.4862601499524266,0.42857142857142855,0.4306972789115646,0.40775885817968316,0.40588274092215937,True
2,1.1657107808820428,0.5454719144058082,0.5398675143015065,1.3380803193780189,0.4764808362369338,0.4818594104308391,0.47239778350283745,0.47053340726382553,True
3,1.0549259409450784,0.5985861673672144,0.5973538612840408,1.3358237315553405,0.4930313588850174,0.4956065759637189,0.48864017987057967,0.4866798407331049,True
4,0.9435056132080448,0.6438670233091326,0.6430462230430146,1.2948847302991755,0.5217770034843205,0.5243764172335601,0.5180148586013016,0.5160014021711391,True
5,0.8343640177314592,0.688383645395491,0.6879815661275684,1.4344817055227035,0.519163763066202,0.5249433106575964,0.5087406836497738,0.5066619803875392,False
6,0.742099890988612,0.7179977072984334,0.7182681531236518,1.3294879443138734,0.5435540069686411,0.5497448979591838,0.5356543961426525,0.5337863351227372,True
7,0.6548017469307007,0.7516239969430646,0.7517479211146529,1.430149109521394,0.5357142857142857,0.5409580498866213,0.5239658693038519,0.5217088208876305,False
8,0.5761353033254928,0.7808559419182269,0.7817251155356674,1.415788103063763,0.5627177700348432,0.5653344671201814,0.5621343272761684,0.5599137208499421,True
9,0.4791086648751362,0.8240351547573558,0.8252043039355202,1.5001798751877575,0.563588850174216,0.5673185941043085,0.5638142387667547,0.5615265690866225,True
10,0.3863029765704683,0.8589988536492167,0.8598824209317678,1.8845578884829213,0.5505226480836237,0.5561224489795918,0.5423070872819787,0.5403118095284343,False
11,0.3152435149315618,0.8853649216660298,0.8861466205962554,1.881510330824902,0.5531358885017421,0.558531746031746,0.5446477253984942,0.5420356871513272,False
12,0.25597034452819717,0.9111578142911732,0.9121850727198618,2.066537469106269,0.5365853658536586,0.5393990929705216,0.5282352665457284,0.526213904483158,False
13,0.19678785454056213,0.9317921283912878,0.932583510781169,2.3391021585630623,0.5296167247386759,0.5317460317460317,0.526599539555519,0.5243895116790053,False
14,0.16405817836147252,0.9421092854413451,0.9425993338957389,2.273328875000053,0.5435540069686411,0.5456349206349206,0.5428168064945845,0.5412827216355676,False
15,0.10033016455995704,0.9679021780664884,0.9682832725580921,2.446070343775201,0.5479094076655052,0.550595238095238,0.5460248261219213,0.5440469281232415,False
16,0.10285776436192232,0.9661826518914788,0.9665717084249829,2.696974198577296,0.5435540069686411,0.546201814058957,0.5356654888548554,0.5339077006164414,False
17,0.052305881678488673,0.9856706152082537,0.9858268350074705,2.6388955930384195,0.5435540069686411,0.5450680272108844,0.5425983231178423,0.5406164965839074,False
