method,variant,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1,delta_vs_winner,best_epoch,epochs_trained,seconds
rnn,attention_pooling,0.5566202090592335,0.560515873015873,0.554205358752878,0.5525491975236391,-0.00960888001387672,14,22,11.2
rnn,feature_noise,0.5609756097560976,0.5644841269841271,0.5601659342802406,0.5577038567965609,-0.003648304486514098,8,16,7.7
rnn,attention_plus_noise,0.5627177700348432,0.5666099773242631,0.55969464875663,0.5578880247320057,-0.004119590010124741,15,23,11.7
