corpus,candidate,feature_fingerprint,frame_strategy,n_mels,n_frames,vector_size,runs,seeds,val_macro_f1_mean,val_macro_f1_std,val_macro_f1_min,val_macro_f1_max,val_accuracy_mean,val_accuracy_std,val_balanced_accuracy_mean,val_balanced_accuracy_std,val_loss_mean,rank
cremad,main_64x64_resize,926d2ca1e2c2,resize,64,64,4096,3,"42,143,244",0.4644081987862642,0.006321854243090466,0.4557729382629713,0.4707315629229465,0.46747967479674796,0.006993760379709416,0.4666666666666666,0.007106019057440915,1.492084677626447,1
cremad,challenger_96x64_crop_pad,b2cac1a81474,crop_pad,96,64,6144,3,"42,143,244",0.4548617657583091,0.011870460476829041,0.4422147774867014,0.4707456999279871,0.46585365853658534,0.010537789753508674,0.46547619047619043,0.01104002201844727,1.4928954636178364,2
