epoch,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1,improved
1,2.212006744905412,0.16197557089750397,0.17247324896629035,0.14553970669706737,0.14564864556012247,1.9185751130428221,0.20689655172413793,0.21274459445191152,0.19309797221191596,0.19478469077100635,True
2,1.8193815481263909,0.2586298459904408,0.26324966139650735,0.25444154597080304,0.2563637882776884,1.8487723819140731,0.19704433497536947,0.2017801139752359,0.18426223994720473,0.1870197616812398,False
3,1.6737681977367755,0.33244822092405735,0.3366886304326077,0.3301170128856941,0.33046186785263765,1.9222096897698389,0.21428571428571427,0.22055064250186204,0.20180166574041203,0.20392220577465273,True
4,1.5487284552082379,0.39776951672862454,0.4038765401928084,0.3974298843515183,0.3976351562994583,1.891478970133025,0.21674876847290642,0.22047216681363024,0.21409513670648708,0.21576004025339005,True
5,1.4403031407932114,0.4530005310674456,0.46000801465539465,0.45273486667643853,0.45289264467209095,1.9331164125151235,0.18719211822660098,0.18552408918262578,0.1843716129765941,0.19082308624799757,False
6,1.3329561948776245,0.5130111524163569,0.5182570301814456,0.512417572618867,0.5132440677075597,1.9851101677993248,0.21182266009852216,0.19806949806949806,0.19186665292708335,0.20547916326480103,False
7,1.2180446451544698,0.5624004248539565,0.5693336313623576,0.5627935049104761,0.5617414005579242,2.0086933597555303,0.2019704433497537,0.19851038875429117,0.19671105097658456,0.20441543176259114,False
8,1.1290432112177697,0.590015932023367,0.5944185424297884,0.5895245452287683,0.591144760674429,2.045790471466891,0.21182266009852216,0.20297066150724688,0.20203679000992977,0.21198232679321327,False
9,1.0413050183386354,0.648964418481147,0.6555332522136991,0.6503146992688091,0.6485544394129749,2.00674857353342,0.19950738916256158,0.19535466730588683,0.1957380261669619,0.20297710303153702,False
10,0.9703825874589443,0.6664896441848115,0.674049385353981,0.6675937969838874,0.6661476493031745,2.1728433987189986,0.19458128078817735,0.20305327500449452,0.19298336603252664,0.1954599502062804,False
11,0.8751617132889357,0.7105682421667552,0.7188711900001112,0.7124095511042142,0.7100479716394991,2.1585738089284288,0.1921182266009852,0.182814395009517,0.18503205121181002,0.19543263213946852,False
12,0.7670901188240112,0.7424322889006904,0.7490246930081805,0.7430601268031212,0.7420759797694316,2.181463320854262,0.21182266009852216,0.2058109106889595,0.19892313063435021,0.20798512131014574,False
