model,source,val_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1
Yöntem 1: Mel + CNN,final,0.3111048142518537,0.4430652995143011,0.23025862295146374,0.21840279508059668,0.43148206591349086
Yöntem 2: Aralık + LSTM/GRU,final,0.2633312057085808,0.3842417701025364,0.20360595096794853,0.19671246439142578,0.3963595209546925
