corpus,candidate,feature_fingerprint,frame_strategy,n_mels,n_frames,vector_size,runs,seeds,val_macro_f1_mean,val_macro_f1_std,val_macro_f1_min,val_macro_f1_max,val_accuracy_mean,val_accuracy_std,val_balanced_accuracy_mean,val_balanced_accuracy_std,val_loss_mean,rank
meld,main_64x64_crop_pad,6b0537b59c41,crop_pad,64,64,4096,3,"42,143,244",0.23699810908035088,0.011657281120208897,0.2244751026050972,0.2525450329486726,0.24466338259441703,0.011783826021680892,0.245353050231099,0.019776643779070305,1.8748716832381753,1
meld,challenger_80x64_resize,3b7b2d3746a9,resize,80,64,5120,3,"42,143,244",0.22136621070018736,0.012342800167754369,0.2102242248557024,0.2385737489668458,0.22742200328407222,0.011783826021680906,0.22585369658540388,0.01249486494270659,1.819312927953911,2
