rank,corpus,trial,seed,max_epochs,feature_fingerprint,frame_strategy,n_mels,n_frames,vector_size,model_config,best_epoch,epochs_trained,stopped_early,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1,elapsed_seconds,test_features_loaded
1,cremad,2,42,60,926d2ca1e2c2,resize,64,64,4096,"{""activation"": ""relu"", ""batch_norm"": true, ""batch_size"": 64, ""dropout"": 0.3, ""hidden_dims"": [768, 384], ""learning_rate"": 0.0003, ""patience"": 12, ""weight_decay"": 0.0001}",5,17,True,1.403533808777972,0.4682926829268293,0.4686507936507936,0.46672009517287477,0.46762474067392956,52.97729189999518,False
2,cremad,1,42,60,6b0537b59c41,crop_pad,64,64,4096,"{""activation"": ""relu"", ""batch_norm"": true, ""batch_size"": 64, ""dropout"": 0.3, ""hidden_dims"": [768, 384], ""learning_rate"": 0.0003, ""patience"": 12, ""weight_decay"": 0.0001}",47,59,True,2.03378696150896,0.47560975609756095,0.47539682539682543,0.46452484965019863,0.46465920224062734,141.9143214999931,False
3,cremad,4,42,60,05f14b99c3ec,resize,64,96,6144,"{""activation"": ""relu"", ""batch_norm"": true, ""batch_size"": 64, ""dropout"": 0.3, ""hidden_dims"": [768, 384], ""learning_rate"": 0.0003, ""patience"": 12, ""weight_decay"": 0.0001}",3,15,True,1.4162182552058522,0.4658536585365854,0.4658730158730158,0.46394505242883605,0.4646727725580325,52.264071700017666,False
4,cremad,3,42,60,af84e5dd10eb,crop_pad,64,96,6144,"{""activation"": ""relu"", ""batch_norm"": true, ""batch_size"": 64, ""dropout"": 0.3, ""hidden_dims"": [768, 384], ""learning_rate"": 0.0003, ""patience"": 12, ""weight_decay"": 0.0001}",7,19,True,1.4543578729396913,0.44390243902439025,0.44007936507936507,0.4371355645790693,0.4398236740340935,59.705108199996175,False
