method,variant,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1,delta_vs_winner,best_epoch,epochs_trained,seconds
cnn,specaugment,0.5653310104529616,0.5701530612244897,0.5605878187249301,0.5587614733207683,0.007507728516050083,33,41,94.9
cnn,specaugment_light,0.5452961672473867,0.546343537414966,0.5453290979019824,0.5452151734605675,-0.007750992306897686,14,22,37.3
