epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1,improved
1,1.8122493032511178,0.24797077922077923,0.16731661804125142,1.8095164242873891,0.21329639889196675,0.21051153612629026,0.1332777905533497,0.21538370155218303,True
2,1.7901821256457986,0.2903814935064935,0.1843648081028703,1.7703961771280812,0.24376731301939059,0.24157125509584523,0.17860254935653738,0.26881867799396,True
3,1.7831854557062123,0.3005275974025974,0.18735195532787086,1.7584341962581855,0.4598337950138504,0.23919030271489286,0.21474521429989224,0.46327326576865374,True
4,1.7830290778890832,0.27323457792207795,0.1818394752661059,1.755082807382388,0.2520775623268698,0.25978835978835985,0.16495436289327722,0.29560644606015013,False
5,1.7707848490832687,0.30367288961038963,0.19267227478264526,1.7485575329233736,0.3379501385041551,0.2528189782288143,0.19397879337029508,0.3638965385958135,False
6,1.7679415705142083,0.3078327922077922,0.19768310810543,1.7298100245626349,0.4709141274238227,0.25820105820105815,0.2091715116653594,0.45263051794540726,False
7,1.7691139482058489,0.33116883116883117,0.19844956518748993,1.7543871653707404,0.3656509695290859,0.19153439153439153,0.1384821929125727,0.35752903781235773,False
8,1.7598579696246557,0.3338068181818182,0.20571825457129925,1.7569009115160998,0.49584487534626037,0.23915235493104345,0.2455623472178771,0.4853198578956365,True
9,1.7618525016617466,0.3159496753246753,0.2011850597348784,1.7312056397467108,0.3518005540166205,0.22882296816723047,0.202645009302588,0.39385588546662215,False
10,1.7523684915784117,0.3377637987012987,0.2049259824477322,1.7308937895661245,0.2880886426592798,0.2427910052910053,0.1758066089431314,0.30736144589630926,False
11,1.7513216029513965,0.33289366883116883,0.2046971696658231,1.7218537115984676,0.5013850415512465,0.22839361609853415,0.206666022706286,0.46807131479712916,False
12,1.7488343011249194,0.3366477272727273,0.20654735037218142,1.7107591850275479,0.4626038781163435,0.24463852025327434,0.22564668473544744,0.4546663360268644,False
13,1.7453438031983066,0.3257913961038961,0.20990151620311082,1.728674013859017,0.31301939058171746,0.22759996530488333,0.1696674614152859,0.341199461875322,False
14,1.7529066166320404,0.330661525974026,0.20191528826861602,1.690179712884644,0.46537396121883656,0.2663110417208778,0.21631708238851097,0.4540847733368509,False
15,1.7430157394378216,0.3547077922077922,0.21758479534875763,1.678731155197376,0.5041551246537396,0.3545916818457802,0.3111048142518537,0.5065892678003853,True
16,1.7387477383985148,0.3445616883116883,0.219665006033971,1.723653587608126,0.5096952908587258,0.23852892705351722,0.22751986200262064,0.48432581205529907,False
17,1.7333200887426155,0.346387987012987,0.22091409576893103,1.6802302503189552,0.5124653739612188,0.3190888194986556,0.26451381663477186,0.4904871842440841,False
18,1.725984691412418,0.3276176948051948,0.21856845496977872,1.7313573390162882,0.44598337950138506,0.27688004163414,0.22033462033462034,0.44304074553382033,False
19,1.7279180373464311,0.3400974025974026,0.22261447649142277,1.7656386575540348,0.24653739612188366,0.30971788533263944,0.16941876149980975,0.2500269568982495,False
20,1.7193284812685732,0.3189935064935065,0.21536763828558037,1.6919861457354475,0.5207756232686981,0.26359940150923755,0.24124349883345397,0.48493374883683604,False
21,1.7227849039164456,0.34912743506493504,0.22788753716480334,1.7473885923871704,0.1745152354570637,0.25916818457802066,0.12924298170259352,0.16053814872243555,False
22,1.7199726069902446,0.315137987012987,0.218767462879486,1.7126518818149936,0.2770083102493075,0.2859744990892532,0.18092263800250505,0.30168503729926166,False
23,1.7114029263521169,0.31858766233766234,0.2230038660060201,1.6692278127591036,0.4376731301939058,0.30821732153699366,0.23585160083215947,0.4453693139745657,False
