epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1,improved
1,1.3592876243044791,0.44183381088825213,0.4269701336224309,1.2105414904783827,0.5174216027874564,0.5184240362811791,0.5006854396610082,0.5006369431456318,True
2,1.1831582908074745,0.545367717287488,0.5410130769020479,1.1498843244559258,0.5592334494773519,0.5610827664399093,0.5581143310549802,0.558027368641047,True
3,1.0759900357001377,0.5833810888252149,0.5809361425217577,1.0459589646668384,0.5993031358885017,0.6011904761904762,0.594380300950344,0.5941658057741426,True
4,0.9998375913816742,0.6181470869149952,0.6162510556947677,1.022479099263713,0.6236933797909407,0.6257086167800453,0.623173967521782,0.6230973377180771,True
5,0.9128663562430351,0.6498567335243552,0.6489150716165252,1.0151487032295519,0.6280487804878049,0.6318027210884353,0.6262702057314803,0.6261774888213859,True
6,0.825781740056068,0.6840496657115568,0.6841931071789659,1.0204572839604023,0.6315331010452961,0.6346371882086167,0.6272009323549089,0.626927687045884,True
7,0.7465833236973061,0.7199617956064948,0.7207370545396458,1.0287436010114823,0.64198606271777,0.6456916099773243,0.6398280190826311,0.6390511610603785,True
8,0.6588665776403039,0.7617956064947469,0.7624896059320309,1.0235725520795231,0.6489547038327527,0.64937641723356,0.6474655672544284,0.6469487099577581,True
9,0.5885985604671489,0.7831900668576887,0.7842443318103934,1.0799377969748467,0.6489547038327527,0.6507936507936508,0.6501324030160472,0.6499049138345006,True
10,0.5294364136633923,0.8063037249283668,0.8075550386104009,1.088675699582914,0.6646341463414634,0.6678004535147393,0.6643335189642453,0.6634252955090251,True
11,0.4206584694733934,0.8469914040114613,0.8483243207959038,1.214114729120341,0.6350174216027874,0.6354875283446711,0.6357693413156046,0.6353534961989628,False
12,0.36404026162089226,0.868385864374403,0.8695437855842935,1.3240239686666881,0.6306620209059234,0.6325113378684808,0.6297435197428726,0.6292427952477301,False
13,0.3088047907140672,0.8897803247373448,0.8910561440677608,1.3716745958095644,0.6376306620209059,0.639030612244898,0.6378529762061106,0.6369627662351766,False
14,0.23766795093373333,0.9167144221585483,0.9173526658419698,1.5132516568546095,0.6376306620209059,0.6394557823129251,0.637120680699833,0.6359354708214318,False
15,0.19730343810125203,0.9302769818529131,0.9309576354774686,1.712420814128703,0.6263066202090593,0.6296768707482993,0.6219099057323999,0.6220241746433665,False
16,0.17048788187383127,0.9400191021967527,0.9404822286942491,1.6110898335220922,0.6376306620209059,0.6387471655328797,0.6364693532015311,0.635965121398084,False
17,0.10798180081242022,0.9656160458452722,0.9660183769707177,1.7487230109836167,0.6480836236933798,0.6481009070294784,0.6485978553193635,0.6484501285063077,False
18,0.09080728826601389,0.9705826170009552,0.9709546224973198,1.9084224584625988,0.6280487804878049,0.6315192743764172,0.6274218962414385,0.6269500847069802,False
