parameter_order,parameter,parameter_label,value,runs,val_macro_f1_mean,val_macro_f1_std,val_macro_f1_median,val_macro_f1_min,val_macro_f1_max,best_trial,search_stages
1,learning_rate,Learning rate,0.0006,1,0.2414046226683157,0.0,0.2414046226683157,0.2414046226683157,0.2414046226683157,18,refinement
1,learning_rate,Learning rate,0.00015,1,0.2360442356382329,0.0,0.2360442356382329,0.2360442356382329,0.2360442356382329,17,refinement
1,learning_rate,Learning rate,0.0001,1,0.2354479276963846,0.0,0.2354479276963846,0.2354479276963846,0.2354479276963846,5,screening
1,learning_rate,Learning rate,0.0003,26,0.2202308462276158,0.01655817794837138,0.21637949589396277,0.1955718983371861,0.2525450329486726,15,"refinement,screening"
1,learning_rate,Learning rate,0.001,1,0.2137374444316802,0.0,0.2137374444316802,0.2137374444316802,0.2137374444316802,4,screening
2,hidden_dims,Gizli katman yapısı,512-256,25,0.22400925088610493,0.016683850476019103,0.2228477469773415,0.1955718983371861,0.2525450329486726,15,"refinement,screening"
2,hidden_dims,Gizli katman yapısı,1024-512-256,1,0.221630200562028,0.0,0.221630200562028,0.221630200562028,0.221630200562028,10,screening
2,hidden_dims,Gizli katman yapısı,768-384,1,0.2173372122233731,0.0,0.2173372122233731,0.2173372122233731,0.2173372122233731,26,refinement
2,hidden_dims,Gizli katman yapısı,256-128,1,0.2089369961386123,0.0,0.2089369961386123,0.2089369961386123,0.2089369961386123,25,refinement
2,hidden_dims,Gizli katman yapısı,256,1,0.2027278741156154,0.0,0.2027278741156154,0.2027278741156154,0.2027278741156154,8,screening
2,hidden_dims,Gizli katman yapısı,512-256-128,1,0.2017726771603728,0.0,0.2017726771603728,0.2017726771603728,0.2017726771603728,9,screening
3,batch_size,Batch boyutu,32,2,0.22626133890875788,0.002763959241820199,0.22626133890875788,0.2234973796669377,0.2290252981505781,2,"refinement,screening"
3,batch_size,Batch boyutu,128,2,0.22418158473335043,0.007558765059509101,0.22418158473335043,0.2166228196738413,0.2317403497928595,20,"refinement,screening"
3,batch_size,Batch boyutu,64,26,0.22122116865647723,0.01736665932107802,0.21569117129262316,0.1955718983371861,0.2525450329486726,15,"refinement,screening"
4,patience,Patience,10,1,0.2525450329486726,0.0,0.2525450329486726,0.2525450329486726,0.2525450329486726,22,refinement
4,patience,Patience,6,1,0.2525450329486726,0.0,0.2525450329486726,0.2525450329486726,0.2525450329486726,21,refinement
4,patience,Patience,12,1,0.2266140551822788,0.0,0.2266140551822788,0.2266140551822788,0.2266140551822788,7,screening
4,patience,Patience,8,26,0.21965317202514367,0.015009077127910338,0.21637949589396277,0.1955718983371861,0.2525450329486726,15,"refinement,screening"
4,patience,Patience,5,1,0.2099496386192643,0.0,0.2099496386192643,0.2099496386192643,0.2099496386192643,6,screening
5,activation,Aktivasyon,relu,26,0.22343324184306074,0.01689139026766584,0.22223897376968477,0.1955718983371861,0.2525450329486726,15,"refinement,screening"
5,activation,Aktivasyon,gelu,2,0.21125271176776533,0.002842424938721652,0.21125271176776533,0.2084102868290437,0.214095136706487,11,"refinement,screening"
5,activation,Aktivasyon,tanh,2,0.2104332604487573,0.004812910022404804,0.2104332604487573,0.2056203504263525,0.2152461704711621,29,"refinement,screening"
6,batch_norm,Batch normalization,true,28,0.22357425493460975,0.015398517956672617,0.21948370639270054,0.2017726771603728,0.2525450329486726,15,"refinement,screening"
6,batch_norm,Batch normalization,false,2,0.1962785470917764,0.0007066487545902972,0.1962785470917764,0.1955718983371861,0.1969851958463667,13,"refinement,screening"
7,dropout,Dropout,0.5,13,0.22987456027387798,0.019050342794965293,0.2317403497928595,0.1955718983371861,0.2525450329486726,15,"refinement,screening"
7,dropout,Dropout,0,1,0.2273771664547135,0.0,0.2273771664547135,0.2273771664547135,0.2273771664547135,14,screening
7,dropout,Dropout,0.6,1,0.2228477469773415,0.0,0.2228477469773415,0.2228477469773415,0.2228477469773415,24,refinement
7,dropout,Dropout,0.3,14,0.214308173521757,0.010631488040589485,0.2139162905690836,0.1969851958463667,0.2354479276963846,5,screening
7,dropout,Dropout,0.4,1,0.2137276060555577,0.0,0.2137276060555577,0.2137276060555577,0.2137276060555577,23,refinement
8,weight_decay,Weight decay,0,2,0.2343406025313784,0.018204430417294193,0.2343406025313784,0.2161361721140842,0.2525450329486726,30,"refinement,screening"
8,weight_decay,Weight decay,0.0001,28,0.22085553668892385,0.015843792071314637,0.21698001594860722,0.1955718983371861,0.2525450329486726,15,"refinement,screening"
